click_time,animal_type,score_for_type,word_complexity,isRepeat,isTarget_img,x_position,player_energy
1.4341,ob,1,1,0,1,76.0,47.2
1.1328,ob,2,1,0,1,-105.0,44.5
1.2952,worplenerp,2,5,0,1,84.0,40.9
1.2552,ob,3,1,0,1,-118.0,41.9
1.2586,worplenerp,3,5,0,1,8.0,38.4
1.2283,ob,4,1,0,1,-235.0,35.0
2.3998,ob,5,1,1,1,-292.0,36.0
2.1909,worplenerp,4,5,0,1,-150.0,32.7
2.1503,ob,6,1,0,1,20.0,35.7
2.5585,ob,7,1,1,1,-77.0,32.4
1.1069,worplenerp,6,5,0,1,152.0,35.5
1.0831,ob,9,1,0,1,0.0,36.5
4.0299,ob,10,1,1,0,11.0,33.2
1.4118,pij,1,2,0,1,-247.0,34.2
1.765,pij,2,2,1,1,186.0,36.0
3.2256,pij,3,2,1,1,330.0,32.7
2.6241,ob,11,1,0,0,-181.0,35.0
1.5216,ob,12,1,1,0,-6.0,31.8
5.4604,pij,4,2,0,1,215.0,34.3
1.3542,pij,5,2,1,1,27.0,35.3
1.1498,pij,6,2,1,1,-294.0,32.0
5.2492,ob,13,1,0,0,-237.0,34.5
1.1488,pij,7,2,0,1,-245.0,35.5
6.3649,worplenerp,7,5,0,1,-215.0,34.1
3.8662,ob,15,1,0,0,-78.0,36.0
7.4336,pij,9,2,1,1,221.0,33.7
5.7188,ob,17,1,1,0,172.0,31.5
4.4767,ob,18,1,1,0,-337.0,33.3
4.4108,worplenerp,8,5,0,1,-232.0,35.4
8.7582,pij,10,2,0,0,-37.0,33.6
2.2889,jix,1,2,0,1,-322.0,35.6
1.1696,jix,2,2,1,1,43.0,36.6
2.6867,ob,19,1,0,0,266.0,30.7
5.1634,jix,3,2,0,1,23.0,31.7
4.2455,pij,11,2,0,0,246.0,32.0
1.5455,pij,12,2,1,0,-32.0,34.4
7.0055,jix,4,2,0,1,-46.0,35.4
4.0387,jix,5,2,0,1,-230.0,35.3
1.3246,pij,13,2,0,0,-18.0,36.3
5.2186,ob,22,1,0,0,-154.0,33.0
5.0344,ob,23,1,1,0,-159.0,34.0
5.2285,jix,6,2,0,1,81.0,35.9
1.0148,pij,14,2,0,0,215.0,36.9
3.5626,jix,7,2,0,1,-318.0,33.6
6.676,ob,24,1,0,0,-106.0,35.6
1.5468,jix,8,2,0,1,-320.0,36.6
2.9742,jix,9,2,1,1,306.0,33.3
5.6911,pij,15,2,0,0,-72.0,35.4
3.3617,pij,16,2,1,0,207.0,32.1
1.4401,pij,17,2,1,0,-231.0,34.5
1.23,pij,18,2,1,0,120.0,35.5
3.4933,pij,19,2,0,0,-73.0,33.1
4.8624,ob,28,1,0,0,14.0,35.2
1.7441,jix,10,2,0,0,145.0,32.0
5.4773,pij,20,2,0,0,-36.0,33.0
1.6734,worplenerp,10,5,0,0,223.0,35.2
2.405,jix,11,2,0,0,150.0,31.3
2.1916,yugelta,1,5,0,1,297.0,34.0
1.9239,ob,30,1,1,0,211.0,32.6
3.3161,ob,31,1,1,0,-41.0,34.9
3.0907,yugelta,2,5,0,1,59.0,31.7
3.7139,jix,12,2,0,0,153.0,32.7
